"year","country","school_id","fund_gov","fund_fees","fund_donation","enrol_boys","enrol_girls","stratio","public_private","staff_shortage","sch_wgt","school_size"
2022,"MEX","48400001",100,0,0,1374,2022,23.5833333333333,"2",0.597222222222222,NA,3396
2022,"MEX","48400002",10,80,10,190,188,15.75,"2",1,NA,378
2022,"MEX","48400003",90,10,0,1710,2171,44.6091954022989,"2",0,NA,3881
2022,"MEX","48400004",44,56,0,1662,1774,30.140350877193,"2",1,NA,3436
2022,"MEX","48400005",100,0,0,536,510,22.2553191489362,"2",1,NA,1046
2022,"MEX","48400006",0,90,10,115,129,7.625,"1",1,NA,244
2022,"MEX","48400007",15,85,0,75,60,13.5,"2",1,NA,135
2022,"MEX","48400008",0,0,0,380,300,NA,"1",NA,NA,680
2022,"MEX","48400009",100,0,0,532,764,30.8571428571429,"2",1,NA,1296
2022,"MEX","48400010",0,20,10,242,260,20.08,"2",NA,NA,502
2022,"MEX","48400011",25,75,0,35,34,11.5,"2",0,NA,69
2022,"MEX","48400012",0,0,90,14,19,NA,"2",NA,NA,33
2022,"MEX","48400013",70,30,0,213,251,15.4666666666667,"2",1,NA,464
2022,"MEX","48400014",60,40,0,NA,NA,NA,"2",NA,NA,NA
2022,"MEX","48400015",0,20,0,317,326,NA,"2",NA,NA,643
2022,"MEX","48400016",70,30,0,470,728,18.4307692307692,"2",NA,NA,1198
2022,"MEX","48400017",0,100,0,34,33,NA,"2",NA,NA,67
2022,"MEX","48400018",0,100,0,215,424,13.3125,"2",1,NA,639
2022,"MEX","48400019",90,10,0,444,506,36.5384615384615,"2",NA,NA,950
2022,"MEX","48400020",100,0,0,590,595,33.8571428571429,"2",0.6,NA,1185
2022,"MEX","48400021",100,0,0,402,415,45.3888888888889,"2",NA,NA,817
2022,"MEX","48400022",0,0,0,222,207,14.3,"2",0.166666666666667,NA,429
2022,"MEX","48400023",0,100,0,1755,2056,NA,"1",NA,NA,3811
2022,"MEX","48400024",0,100,0,534,910,49.7931034482759,"2",1,NA,1444
2022,"MEX","48400025",50,30,10,395,401,27.448275862069,"2",0,NA,796
2022,"MEX","48400026",50,50,0,229,205,25.5294117647059,"2",NA,NA,434
2022,"MEX","48400027",0,100,0,66,86,NA,"2",NA,NA,152
2022,"MEX","48400028",100,0,0,2136,2509,20.0215517241379,"2",0.21551724137931,NA,4645
2022,"MEX","48400029",15,85,0,399,392,NA,"2",NA,NA,791
2022,"MEX","48400030",100,0,0,263,349,19.741935483871,"2",NA,NA,612
2022,"MEX","48400031",0,100,0,79,108,7.48,"1",0,NA,187
2022,"MEX","48400032",0,100,0,NA,NA,NA,"1",NA,NA,NA
2022,"MEX","48400033",50,50,0,570,680,19.2307692307692,"2",0.230769230769231,NA,1250
2022,"MEX","48400034",100,0,0,16,26,NA,"2",NA,NA,42
2022,"MEX","48400035",0,50,50,118,144,15.4117647058824,"1",NA,NA,262
2022,"MEX","48400036",0,50,50,7,19,8.66666666666667,"2",0.666666666666667,NA,26
2022,"MEX","48400037",0,90,10,11,35,NA,"2",NA,NA,46
2022,"MEX","48400038",100,0,0,8,8,NA,"2",NA,NA,16
2022,"MEX","48400039",0,100,0,26,22,8,"1",1,NA,48
2022,"MEX","48400040",100,0,0,419,628,NA,"2",NA,NA,1047
2022,"MEX","48400041",0,27,0,862,604,21.5588235294118,"2",0.985294117647059,NA,1466
2022,"MEX","48400042",70,30,0,128,144,NA,"2",NA,NA,272
2022,"MEX","48400043",100,0,0,1326,1659,NA,"2",NA,NA,2985
2022,"MEX","48400044",10,90,0,795,659,27.4339622641509,"2",1,NA,1454
2022,"MEX","48400045",0,80,20,12,20,3.2,"1",1,NA,32
2022,"MEX","48400046",0,100,0,26,33,14.75,"2",1,NA,59
2022,"MEX","48400047",100,0,0,691,1428,26.1604938271605,"2",0,NA,2119
2022,"MEX","48400048",0,100,0,835,782,64.68,"2",0.4,NA,1617
2022,"MEX","48400049",20,10,0,120,130,10.8695652173913,"2",0,NA,250
2022,"MEX","48400050",100,0,0,633,684,28.0212765957447,"2",0.276595744680851,NA,1317
2022,"MEX","48400051",0,100,0,63,31,4.47619047619048,"1",NA,NA,94
2022,"MEX","48400052",100,NA,NA,249,201,11.25,"2",0,NA,450
2022,"MEX","48400053",90,10,0,51,37,6.28571428571429,"2",1,NA,88
2022,"MEX","48400054",0,100,0,14,9,NA,"1",NA,NA,23
2022,"MEX","48400055",0,100,0,474,548,19.6538461538462,"2",1,NA,1022
2022,"MEX","48400056",20,80,0,95,159,16.9333333333333,"2",1,NA,254
2022,"MEX","48400057",80,20,0,424,351,12.5,"2",0,NA,775
2022,"MEX","48400058",100,0,0,711,524,NA,"2",NA,NA,1235
2022,"MEX","48400059",0,100,0,626,611,26.8913043478261,"2",NA,NA,1237
2022,"MEX","48400060",80,20,0,89,88,13.6153846153846,"2",0,NA,177
2022,"MEX","48400061",100,0,0,561,389,22.093023255814,"2",0.0697674418604651,NA,950
2022,"MEX","48400062",0,100,0,118,212,15,"1",1,NA,330
2022,"MEX","48400063",40,50,0,3049,3283,41.9337748344371,"2",0.95364238410596,NA,6332
2022,"MEX","48400064",0,100,0,946,607,22.8382352941176,"2",1,NA,1553
2022,"MEX","48400065",100,0,0,177,196,31.0833333333333,"2",NA,NA,373
2022,"MEX","48400066",100,0,0,221,204,60.7142857142857,"2",NA,NA,425
2022,"MEX","48400067",10,90,0,183,210,NA,"2",NA,NA,393
2022,"MEX","48400068",0,100,0,313,277,19.6666666666667,"1",0,NA,590
2022,"MEX","48400069",0,100,0,282,322,9.15151515151515,"2",1,NA,604
2022,"MEX","48400070",0,20,80,248,210,14.3125,"2",0,NA,458
2022,"MEX","48400071",0,100,0,229,288,19.8846153846154,"2",0.769230769230769,NA,517
2022,"MEX","48400072",0,100,0,36,59,6.33333333333333,"1",NA,NA,95
2022,"MEX","48400073",0,100,0,1283,1134,37.1846153846154,"2",1,NA,2417
2022,"MEX","48400074",2,94,2,35,41,NA,"2",NA,NA,76
2022,"MEX","48400075",50,30,10,133,71,22.6666666666667,"2",0,NA,204
2022,"MEX","48400076",80,20,0,588,740,22.8965517241379,"2",1,NA,1328
2022,"MEX","48400077",50,50,0,117,81,24.75,"2",0.375,NA,198
2022,"MEX","48400078",50,50,NA,766,988,18.6595744680851,"2",0.702127659574468,NA,1754
2022,"MEX","48400079",0,100,0,118,103,NA,"2",NA,NA,221
2022,"MEX","48400080",0,0,20,297,271,12.6222222222222,"2",1,NA,568
2022,"MEX","48400081",100,0,0,219,194,27.5333333333333,"2",1,NA,413
2022,"MEX","48400082",NA,NA,NA,203,180,NA,"2",NA,NA,383
2022,"MEX","48400083",100,0,0,250,348,21.3571428571429,"2",0.357142857142857,NA,598
2022,"MEX","48400084",0,100,0,705,805,25.1666666666667,"2",1,NA,1510
2022,"MEX","48400085",0,100,0,12,5,NA,"1",NA,NA,17
2022,"MEX","48400086",0,100,0,58,36,9.4,"1",1,NA,94
2022,"MEX","48400087",0,100,0,236,269,20.2,"2",1,NA,505
2022,"MEX","48400088",50,50,0,306,481,13.1166666666667,"2",0.25,NA,787
2022,"MEX","48400089",100,0,0,1100,1850,34.3023255813954,"2",NA,NA,2950
2022,"MEX","48400090",0,100,0,326,225,12.8139534883721,"2",1,NA,551
2022,"MEX","48400092",80,20,0,7,10,NA,"2",NA,NA,17
2022,"MEX","48400093",100,0,0,2719,3489,20.972972972973,"2",0,NA,6208
2022,"MEX","48400094",0,100,0,45,32,NA,"2",NA,NA,77
2022,"MEX","48400095",0,80,0,485,469,27.2571428571429,"2",0.228571428571429,NA,954
2022,"MEX","48400096",95,5,0,246,246,21.3913043478261,"2",0.826086956521739,NA,492
2022,"MEX","48400097",100,0,0,127,81,29.7142857142857,"2",NA,NA,208
2022,"MEX","48400098",0,100,0,251,249,22.7272727272727,"2",0.954545454545455,NA,500
2022,"MEX","48400099",0,100,0,90,105,NA,"1",NA,NA,195
2022,"MEX","48400100",0,90,0,57,75,11,"1",0.916666666666667,NA,132
2022,"MEX","48400101",NA,NA,NA,100,104,15.6923076923077,"2",1,NA,204
2022,"MEX","48400102",100,0,0,656,719,36.1842105263158,"2",1,NA,1375
2022,"MEX","48400103",0,100,0,1352,1287,32.5802469135802,"2",1,NA,2639
2022,"MEX","48400104",40,50,10,86,116,15.5384615384615,"2",0.307692307692308,NA,202
2022,"MEX","48400105",0,100,0,432,330,23.0909090909091,"2",1,NA,762
2022,"MEX","48400106",100,0,0,396,468,123.428571428571,"2",NA,NA,864
2022,"MEX","48400107",60,40,0,41,52,18.6,"2",0.4,NA,93
2022,"MEX","48400108",0,100,0,NA,15,NA,"1",NA,NA,NA
2022,"MEX","48400109",0,100,0,47,42,17.8,"2",0,NA,89
2022,"MEX","48400110",70,30,NA,17,41,NA,"2",NA,NA,58
2022,"MEX","48400111",80,10,10,3491,2217,18.2948717948718,"2",NA,NA,5708
2022,"MEX","48400112",30,70,0,581,623,34.4,"2",0.971428571428571,NA,1204
2022,"MEX","48400113",10,90,0,56,53,NA,"2",NA,NA,109
2022,"MEX","48400114",90,10,0,314,394,20.2285714285714,"2",0.942857142857143,NA,708
2022,"MEX","48400115",4,94,0,606,747,19.6086956521739,"2",1,NA,1353
2022,"MEX","48400116",0,100,0,763,844,24.3484848484848,"2",0,NA,1607
2022,"MEX","48400117",30,70,0,490,524,14.2816901408451,"2",1,NA,1014
2022,"MEX","48400118",30,70,0,1557,1274,42.2537313432836,"2",0,NA,2831
2022,"MEX","48400119",0,100,0,390,479,27.15625,"2",0.8125,NA,869
2022,"MEX","48400120",60,40,0,523,477,47.6190476190476,"2",1,NA,1000
2022,"MEX","48400121",0,100,0,525,491,21.6170212765957,"2",0.148936170212766,NA,1016
2022,"MEX","48400122",0,100,0,187,151,14.695652173913,"2",0,NA,338
2022,"MEX","48400123",100,0,0,2805,3620,NA,"2",NA,NA,6425
2022,"MEX","48400124",95,0,0,157,127,28.4,"2",0.2,NA,284
2022,"MEX","48400125",0,100,0,69,84,10.9285714285714,"1",1,NA,153
2022,"MEX","48400126",0,100,0,123,116,13.2777777777778,"1",0.944444444444444,NA,239
2022,"MEX","48400127",0,100,0,526,582,15.6056338028169,"2",0.0563380281690141,NA,1108
2022,"MEX","48400128",0,100,0,60,91,25.1666666666667,"2",NA,NA,151
2022,"MEX","48400129",100,0,0,157,135,26.5454545454545,"2",1,NA,292
2022,"MEX","48400130",60,40,0,320,335,21.1290322580645,"2",1,NA,655
2022,"MEX","48400131",30,70,0,36,33,23,"2",1,NA,69
2022,"MEX","48400132",0,100,0,494,549,15.1159420289855,"2",0.855072463768116,NA,1043
2022,"MEX","48400133",90,3,5,188,207,79,"2",NA,NA,395
2022,"MEX","48400134",40,40,20,174,185,NA,"2",NA,NA,359
2022,"MEX","48400135",0,100,0,35,39,NA,"2",NA,NA,74
2022,"MEX","48400136",70,10,0,1589,3646,121.744186046512,"2",0,NA,5235
2022,"MEX","48400137",0,95,5,133,161,12.25,"1",0,NA,294
2022,"MEX","48400138",0,100,0,72,72,NA,"2",NA,NA,144
2022,"MEX","48400139",0,100,0,172,188,8.57142857142857,"2",1,NA,360
2022,"MEX","48400140",100,0,0,702,466,13.9047619047619,"2",NA,NA,1168
2022,"MEX","48400141",70,0,30,127,136,NA,"2",NA,NA,263
2022,"MEX","48400142",100,0,0,1194,1326,26.25,"2",1,NA,2520
2022,"MEX","48400143",10,60,30,165,174,13.56,"2",1,NA,339
2022,"MEX","48400144",100,0,0,345,198,18.1,"2",1,NA,543
2022,"MEX","48400145",0,100,0,309,322,13.7173913043478,"1",0.5,NA,631
2022,"MEX","48400146",100,0,0,26,33,NA,"2",NA,NA,59
2022,"MEX","48400147",80,20,0,685,621,22.135593220339,"2",0,NA,1306
2022,"MEX","48400148",80,5,0,385,427,21.3684210526316,"2",NA,NA,812
2022,"MEX","48400149",100,0,0,704,1038,21.2439024390244,"2",1,NA,1742
2022,"MEX","48400150",90,0,0,224,229,64.7142857142857,"2",0,NA,453
2022,"MEX","48400151",0,65,0,879,831,NA,"2",NA,NA,1710
2022,"MEX","48400152",20,10,70,454,467,16.7454545454545,"2",1,NA,921
2022,"MEX","48400153",100,0,0,679,1155,22.925,"2",0.9125,NA,1834
2022,"MEX","48400154",30,50,10,181,259,18.3333333333333,"2",NA,NA,440
2022,"MEX","48400155",0,100,0,26,21,NA,"2",NA,NA,47
2022,"MEX","48400156",0,0,100,901,650,21.8450704225352,"2",1,NA,1551
2022,"MEX","48400157",0,100,0,699,697,19.3888888888889,"2",NA,NA,1396
2022,"MEX","48400158",100,0,0,431,470,21.452380952381,"2",0,NA,901
2022,"MEX","48400159",0,100,0,64,68,66,"2",0,NA,132
2022,"MEX","48400160",20,80,0,253,257,14.1666666666667,"2",NA,NA,510
2022,"MEX","48400161",0,90,0,979,1369,27.952380952381,"2",0.642857142857143,NA,2348
2022,"MEX","48400162",0,100,0,234,222,19.8260869565217,"2",1,NA,456
2022,"MEX","48400163",1,78,20,7,7,NA,"2",NA,NA,14
2022,"MEX","48400164",0,100,0,NA,NA,NA,"1",NA,NA,NA
2022,"MEX","48400165",0,100,0,52,112,10.9333333333333,"2",1,NA,164
2022,"MEX","48400166",0,90,10,47,70,NA,"2",NA,NA,117
2022,"MEX","48400167",67,33,0,643,969,27.7931034482759,"2",1,NA,1612
2022,"MEX","48400168",99,1,0,485,587,25.5238095238095,"2",NA,NA,1072
2022,"MEX","48400169",0,100,0,96,100,9.8,"2",0,NA,196
2022,"MEX","48400170",90,10,0,349,416,19.125,"2",1,NA,765
2022,"MEX","48400171",0,50,50,13,13,NA,"2",NA,NA,26
2022,"MEX","48400172",0,100,0,1188,1046,24.5494505494506,"2",NA,NA,2234
2022,"MEX","48400173",0,0,100,491,428,17.0185185185185,"2",1,NA,919
2022,"MEX","48400174",98,2,0,195,222,NA,"2",NA,NA,417
2022,"MEX","48400175",0,100,0,314,392,27.1538461538462,"2",1,NA,706
2022,"MEX","48400176",95,5,0,337,383,720,"2",NA,NA,720
2022,"MEX","48400177",100,0,0,284,370,24.2222222222222,"2",1,NA,654
2022,"MEX","48400178",24,0,0,917,1290,11.8655913978495,"2",0.731182795698925,NA,2207
2022,"MEX","48400179",95,5,0,137,175,18.3529411764706,"2",1,NA,312
2022,"MEX","48400180",100,0,0,NA,NA,NA,"2",NA,NA,NA
2022,"MEX","48400181",100,0,0,450,776,14.7710843373494,"2",1,NA,1226
2022,"MEX","48400182",30,70,0,199,226,21.25,"2",1,NA,425
2022,"MEX","48400183",0,100,0,167,185,22,"2",0.875,NA,352
2022,"MEX","48400184",95,5,0,60,53,18.8333333333333,"2",1,NA,113
2022,"MEX","48400185",20,80,0,19,31,NA,"2",NA,NA,50
2022,"MEX","48400186",90,10,0,388,532,21.9047619047619,"2",0.80952380952381,NA,920
2022,"MEX","48400187",99,1,0,488,553,NA,"2",NA,NA,1041
2022,"MEX","48400188",70,30,0,24,25,16.3333333333333,"2",0,NA,49
2022,"MEX","48400189",10,85,5,129,115,15.25,"2",0,NA,244
2022,"MEX","48400190",70,30,0,215,174,22.8823529411765,"2",1,NA,389
2022,"MEX","48400191",100,0,0,51,43,23.5,"2",1,NA,94
2022,"MEX","48400192",80,20,0,289,284,13.9756097560976,"2",1,NA,573
2022,"MEX","48400193",0,100,0,277,329,20.2,"2",0.6,NA,606
2022,"MEX","48400194",0,90,10,43,49,NA,"1",NA,NA,92
2022,"MEX","48400195",0,0,0,80,81,10.0625,"2",1,NA,161
2022,"MEX","48400196",70,30,0,1586,1973,32.3545454545455,"2",0.745454545454545,NA,3559
2022,"MEX","48400197",0,60,0,13,9,3.14285714285714,"1",1,NA,22
2022,"MEX","48400198",80,10,1,228,248,14.875,"2",0.84375,NA,476
2022,"MEX","48400199",100,0,0,380,320,NA,"2",NA,NA,700
2022,"MEX","48400200",NA,100,NA,100,112,8.48,"1",0.28,NA,212
2022,"MEX","48400201",20,0,80,217,216,19.6818181818182,"2",0.318181818181818,NA,433
2022,"MEX","48400202",90,10,0,1166,1600,36.88,"2",1,NA,2766
