id_alumno,educacion_madre,educacion_padre,genero,computadora,internet,matematicas,comprension_lectora,ciencias,cuarto_propio,television,auto,libros,indice_socioeconomico
1,menos que primaria,menos que primaria,0,0,1,413.978,439.094,416.031,0,1,0,2,-3.4817
2,primaria,bachillerato,0,0,1,361.708,307.151,383.599,1,1,1,2,-1.2922
3,secundaria,menos que primaria,0,0,0,407.265,426.771,417.905,1,1,1,0,-2.8082
4,bachillerato,bachillerato tecnico,0,0,1,389.801,415.262,418.802,0,1,1,4,0.5644
5,bachillerato,bachillerato,1,0,1,372.487,461.785,416.475,0,1,1,2,0.4884
6,bachillerato tecnico,bachillerato tecnico,1,1,1,471.889,536.001,427.926,1,1,1,1,1.2231
7,menos que primaria,secundaria,0,1,1,365.768,379.802,363.81,0,1,1,1,-1.7471
8,secundaria,secundaria,1,0,1,343.907,387.492,342.116,1,1,1,0,-1.9136
9,menos que primaria,primaria,1,0,0,378.398,385.404,381.913,1,1,0,1,-2.91
10,bachillerato,secundaria,1,0,1,517.527,624.927,534.886,0,1,1,3,-1.0488
11,bachillerato,bachillerato,1,0,1,387.871,348.041,354.712,0,1,0,1,-1.5846
12,bachillerato,bachillerato,0,0,1,276.969,276.507,286.13,1,1,0,0,-1.3286
13,bachillerato,bachillerato,1,1,1,447.951,520.506,514.019,1,1,1,3,0.9453
14,bachillerato,bachillerato tecnico,0,0,0,291.946,374.257,320.829,0,1,1,2,0.3631
15,secundaria,sin informacion,0,0,1,226.265,245.949,316.506,1,1,0,1,-2.3944
16,bachillerato,bachillerato,1,0,0,293.584,186.054,316.434,1,1,1,1,-1.1245
17,bachillerato,secundaria,0,0,1,505.004,510.963,477.384,0,1,0,2,-1.301
18,bachillerato,bachillerato,1,0,1,401.199,413.869,370.435,1,1,1,3,0.1058
19,secundaria,primaria,1,0,0,335.844,374.885,362.974,0,1,1,2,-2.4272
20,bachillerato tecnico,primaria,1,1,1,277.704,344.997,240.192,1,1,1,2,0.6574
21,primaria,menos que primaria,1,0,1,315.25,353.363,441.033,1,1,0,1,-2.6577
22,primaria,bachillerato,0,1,1,431.71,431.381,440.08,0,1,1,1,-1.0603
23,bachillerato tecnico,bachillerato,0,1,1,570.546,476.157,527.86,1,1,1,3,0.9332
24,secundaria,menos que primaria,0,0,1,366.837,323.234,423.197,1,1,1,1,-1.9762
25,secundaria,secundaria,1,0,0,397.216,407.858,381.1,0,1,0,1,-1.4326
26,bachillerato tecnico,bachillerato tecnico,1,0,1,515.861,636.417,554.957,1,1,1,4,0.9105
27,bachillerato tecnico,bachillerato tecnico,1,1,1,394.531,456.28,391.518,1,1,1,1,0.1352
28,secundaria,secundaria,0,0,1,435.129,434.736,406.82,0,1,0,1,-2.5779
29,primaria,secundaria,0,1,1,336.165,346.916,402.848,1,1,1,3,-1.6092
30,primaria,secundaria,0,0,1,358.774,475.284,424.962,1,1,0,3,-1.706
31,secundaria,secundaria,0,0,0,358.438,334.134,337.322,1,1,0,1,-2.5064
32,bachillerato,bachillerato,1,0,1,376.443,448.135,447.809,0,1,1,2,0.3497
33,primaria,primaria,0,0,1,382.814,421.914,427.19,0,1,0,1,-3.2966
34,bachillerato,bachillerato,1,0,1,382.689,461.597,414.85,1,1,1,1,-0.5556
35,bachillerato,bachillerato tecnico,0,1,1,553.509,529.394,537.016,0,1,0,2,0.2312
36,secundaria,secundaria,0,0,0,441.627,442.369,505.831,1,1,1,6,-0.9095
37,secundaria,secundaria,1,0,1,348.346,376.872,411.738,1,1,0,1,-2.1732
38,primaria,bachillerato,1,0,1,445.002,519.857,446.364,0,1,0,1,-1.5342
39,bachillerato,bachillerato,1,0,1,400.385,474.36,415.338,0,1,0,1,-1.7047
40,secundaria,bachillerato,1,0,0,305.434,341.451,340.416,0,1,0,1,-2.1653
41,secundaria,primaria,1,0,1,429.471,428.239,407.597,1,1,0,0,-2.4784
42,bachillerato,bachillerato,0,0,1,365.98,372.069,416.054,1,1,1,2,0.6457
43,bachillerato,bachillerato,0,0,1,322.498,510.316,400.729,0,1,1,2,-0.6693
44,bachillerato tecnico,bachillerato,0,1,1,460.753,593.661,450.058,0,1,1,3,-0.1042
45,bachillerato tecnico,bachillerato,1,0,1,370.213,372.705,360.173,1,1,1,0,-0.1592
46,secundaria,bachillerato,1,0,1,381.655,451.292,389.644,1,1,0,0,-1.5604
47,bachillerato,bachillerato,0,0,1,464.803,494.943,498.554,1,1,1,3,-0.9919
48,menos que primaria,menos que primaria,0,0,1,453.32,511.674,502.476,1,1,1,0,-3.1076
49,secundaria,bachillerato,0,0,1,344.9,282.323,364.711,0,1,0,3,-1.3347
50,secundaria,secundaria,1,0,1,402.413,383.051,388.342,1,1,1,2,-2.1082
51,bachillerato,bachillerato tecnico,1,1,1,385.61,415.736,389.678,0,1,1,1,0.0056
52,bachillerato,bachillerato tecnico,1,0,1,279.229,310.131,347.876,0,1,1,0,-0.1929
53,bachillerato,bachillerato,1,0,1,423.126,462.154,438.612,1,1,1,1,0.5029
54,bachillerato,secundaria,1,0,1,355.047,438.007,387.633,0,1,0,1,-1.6535
55,secundaria,menos que primaria,0,0,1,465.774,428.194,468.526,0,1,1,4,-1.6755
56,bachillerato tecnico,secundaria,0,0,1,451.563,443.359,543.698,1,1,1,1,-0.1094
57,bachillerato tecnico,bachillerato,0,0,1,399.061,407.449,402.966,0,1,0,1,-0.9321
58,secundaria,bachillerato,0,0,1,408.501,460.075,383.703,1,1,0,0,-0.3631
59,bachillerato,bachillerato,0,0,1,365.036,351.758,327.588,0,1,0,1,-1.547
60,primaria,secundaria,0,1,1,498.177,565.891,518.089,1,1,1,1,-1.4781
61,bachillerato,bachillerato tecnico,0,1,1,384.437,403.109,389.65,1,1,1,2,0.8813
62,bachillerato tecnico,bachillerato,1,1,1,403.814,420.354,441.485,1,1,1,2,0.8828
63,secundaria,bachillerato,0,0,1,453.522,504.309,475.12,1,1,1,1,-1.5552
64,menos que primaria,menos que primaria,1,0,0,468.864,495.308,397.452,1,1,1,1,-3.3907
65,bachillerato,primaria,1,0,0,329.146,298.946,349.842,0,1,1,2,-0.3659
66,bachillerato,secundaria,1,0,1,476.95,548.87,476.977,1,1,1,2,-0.5355
67,secundaria,secundaria,1,0,1,351.241,449.533,437.915,0,1,1,0,-1.7218
68,bachillerato,primaria,1,1,1,522.84,574.789,514.903,1,1,1,1,-0.0492
69,menos que primaria,bachillerato,1,0,1,284.767,272.873,309.409,0,0,1,1,-1.9998
70,secundaria,bachillerato,0,0,1,312.055,306.07,304.84,0,1,0,2,-0.9807
71,bachillerato,primaria,1,0,1,447.768,466.12,453.333,0,1,0,1,-2.0594
72,bachillerato,secundaria,0,1,1,461.668,420.961,442.961,1,1,0,1,-1.6426
73,bachillerato tecnico,bachillerato,1,0,1,412.379,467.384,420.433,1,1,1,3,0.5125
74,secundaria,secundaria,0,0,1,427.041,439.311,427.883,0,1,0,2,-1.8041
75,bachillerato tecnico,bachillerato tecnico,1,1,1,366.931,327.402,427.849,1,1,1,6,1.1786
76,bachillerato,bachillerato,1,0,1,430.973,498.608,470.792,1,1,1,3,1.0805
77,bachillerato,secundaria,1,0,1,435.322,489.9,479.696,1,1,1,1,-0.614
78,bachillerato,bachillerato,0,0,1,472.958,438.406,438.777,1,1,1,2,-1.1225
79,secundaria,primaria,1,0,0,478.9,498.081,447.033,0,0,0,1,-2.4263
80,primaria,primaria,0,0,1,410.953,379.104,451.857,1,1,1,0,-1.9556
81,bachillerato tecnico,primaria,1,0,1,370.535,346.729,384.93,1,1,1,1,-1.654
82,secundaria,bachillerato tecnico,0,1,1,406.787,369.255,404.729,1,1,1,1,-0.9191
83,bachillerato,bachillerato,1,0,1,448.728,479.85,443.428,0,1,1,1,-0.664
84,secundaria,secundaria,0,0,1,490.34,501.088,536.208,0,1,0,3,-1.7205
85,bachillerato,bachillerato tecnico,0,1,1,355.879,407.552,420.374,1,1,0,2,0.1411
86,bachillerato,bachillerato,0,0,1,405.451,400.531,361.014,1,1,1,3,-0.3607
87,bachillerato,bachillerato tecnico,0,0,0,373.819,408.043,411.65,0,0,0,1,-0.4061
88,primaria,primaria,0,0,0,379.285,355.938,337.959,0,1,0,1,-3.3937
89,bachillerato tecnico,bachillerato tecnico,0,1,1,423.145,463.251,533.978,1,1,1,2,0.5278
90,secundaria,secundaria,1,0,1,309.927,371.421,391.035,1,1,1,1,-0.8523
91,secundaria,secundaria,1,1,1,342.602,299.223,339.717,0,1,1,1,-1.9242
92,bachillerato,bachillerato,0,0,1,297.649,390.282,348.771,0,1,0,1,-1.6133
93,primaria,primaria,0,0,1,503.637,538.245,505.895,1,1,1,0,-2.0887
94,secundaria,bachillerato,1,0,1,450.751,497.122,474.388,1,1,1,1,0.5733
95,bachillerato tecnico,bachillerato tecnico,1,0,1,507.513,514.122,520.919,1,1,1,4,1.3446
