id_alumno,educacion_madre,educacion_padre,genero,computadora,internet,matematicas,comprension_lectora,ciencias,cuarto_propio,television,auto,libros,indice_socioeconomico,matematicasCategoria,comprension_lectoraCategoria,cienciasCategoria,indice_socioeconomicoCategoria,rendimiento_general,rendimiento_general_categoria
1,1,1,0,0,1,413.978,439.094,416.031,0,1,0,2,-3.4817,Medio,Medio,Medio,Bajo,423.03433333333334,Medio
2,2,4,0,0,1,361.708,307.151,383.599,1,1,1,2,-1.2922,Medio,Bajo,Medio,Medio,350.81933333333336,Medio
3,3,1,0,0,0,407.265,426.771,417.905,1,1,1,0,-2.8082,Medio,Medio,Medio,Bajo,417.3136666666667,Medio
4,4,5,0,0,1,389.801,415.262,418.802,0,1,1,4,0.5644,Medio,Medio,Medio,Alto,407.955,Medio
5,4,4,1,0,1,372.487,461.785,416.475,0,1,1,2,0.4884,Medio,Medio,Medio,Alto,416.9156666666667,Medio
6,5,5,1,1,1,471.889,536.001,427.926,1,1,1,1,1.2231,Medio,Alto,Medio,Alto,478.60533333333336,Alto
7,1,3,0,1,1,365.768,379.802,363.81,0,1,1,1,-1.7471,Medio,Medio,Medio,Medio,369.7933333333333,Medio
8,3,3,1,0,1,343.907,387.492,342.116,1,1,1,0,-1.9136,Medio,Medio,Medio,Medio,357.8383333333333,Medio
9,1,2,1,0,0,378.398,385.404,381.913,1,1,0,1,-2.91,Medio,Medio,Medio,Bajo,381.90500000000003,Medio
10,4,3,1,0,1,517.527,624.927,534.886,0,1,1,3,-1.0488,Alto,Alto,Alto,Medio,559.1133333333333,Alto
11,4,4,1,0,1,387.871,348.041,354.712,0,1,0,1,-1.5846,Medio,Medio,Medio,Medio,363.54133333333334,Medio
12,4,4,0,0,1,276.969,276.507,286.13,1,1,0,0,-1.3286,Bajo,Bajo,Bajo,Medio,279.8686666666667,Bajo
13,4,4,1,1,1,447.951,520.506,514.019,1,1,1,3,0.9453,Medio,Alto,Alto,Alto,494.1586666666667,Alto
14,4,5,0,0,0,291.946,374.257,320.829,0,1,1,2,0.3631,Bajo,Medio,Medio,Alto,329.0106666666666,Medio
15,3,0,0,0,1,226.265,245.949,316.506,1,1,0,1,-2.3944,Bajo,Bajo,Medio,Bajo,262.9066666666667,Bajo
