educacion_madre,educacion_padre,genero,computadora,internet,matematicas,comprension_lectora,ciencias,cuarto_propio,television,auto,libros,indice_socioeconomico,matematicasCategoria,comprension_lectoraCategoria,cienciasCategoria,indice_socioeconomicoCategoria,rendimiento_general,rendimiento_general_categoria,id_alumno
5,4,1,0,1,475.388,511.835,503.492,0,1,1,3,-0.9572,Medio,Alto,Alto,Medio,496.905,Alto,1
4,4,1,0,1,473.683,476.669,512.643,1,1,1,2,-1.3359,Medio,Medio,Alto,Medio,487.665,Alto,2
4,5,0,1,1,518.837,468.097,460.967,1,1,1,3,0.5372,Alto,Medio,Medio,Alto,482.6336666666666,Alto,3
1,5,0,0,1,453.194,508.281,535.658,1,1,1,3,-0.0435,Medio,Alto,Alto,Alto,499.0443333333333,Alto,4
3,3,1,1,0,506.337,568.798,499.435,0,1,0,0,-2.4098,Alto,Alto,Alto,Bajo,524.8566666666667,Alto,5
4,5,0,1,1,528.126,479.892,504.575,1,1,1,3,0.9251,Alto,Medio,Alto,Alto,504.1976666666667,Alto,6
4,4,0,1,1,545.684,532.434,525.638,0,1,1,6,-0.8443,Alto,Alto,Alto,Medio,534.5853333333333,Alto,7
4,2,0,0,0,484.511,508.717,539.49,0,1,0,0,-2.1024,Medio,Alto,Alto,Medio,510.906,Alto,8
5,0,1,1,1,546.945,574.858,591.925,1,1,1,4,1.0469,Alto,Alto,Alto,Alto,571.2426666666667,Alto,9
4,4,1,1,1,438.637,559.178,506.446,1,1,1,3,1.4189,Medio,Alto,Alto,Alto,501.4203333333333,Alto,10
4,4,0,1,1,497.697,532.572,491.364,0,1,1,4,1.0097,Alto,Alto,Alto,Alto,507.211,Alto,11
3,3,0,1,0,526.379,545.519,567.116,0,1,0,2,-1.3321,Alto,Alto,Alto,Medio,546.3380000000001,Alto,12
4,4,0,0,1,494.467,542.076,523.722,0,1,0,3,0.5385,Medio,Alto,Alto,Alto,520.0883333333334,Alto,13
4,4,1,1,1,530.293,609.694,554.437,1,1,1,3,0.893,Alto,Alto,Alto,Alto,564.808,Alto,14
4,4,1,1,1,467.533,558.734,530.612,0,1,0,1,0.4449,Medio,Alto,Alto,Alto,518.9596666666666,Alto,15
4,4,1,0,1,530.095,542.3,564.503,1,1,1,1,0.8255,Alto,Alto,Alto,Alto,545.6326666666668,Alto,16
4,4,1,1,1,451.155,501.791,545.261,0,1,1,1,0.5095,Medio,Alto,Alto,Alto,499.4023333333333,Alto,17
4,4,0,1,1,533.924,538.196,519.458,1,1,1,4,0.5348,Alto,Alto,Alto,Alto,530.526,Alto,18
3,3,0,1,1,424.038,514.003,499.803,1,1,1,2,-1.7545,Medio,Alto,Alto,Medio,479.28133333333335,Alto,19
5,5,1,0,1,468.245,576.591,539.393,1,1,1,3,0.4455,Medio,Alto,Alto,Alto,528.0763333333333,Alto,20
4,3,0,0,1,480.411,557.076,515.689,1,1,1,1,-0.5115,Medio,Alto,Alto,Medio,517.7253333333333,Alto,21
5,5,0,0,1,509.637,585.689,525.976,1,1,1,1,0.436,Alto,Alto,Alto,Alto,540.4340000000001,Alto,22
4,4,0,0,1,439.927,481.526,527.063,1,1,1,0,0.623,Medio,Medio,Alto,Alto,482.8386666666667,Alto,23
3,3,1,0,1,440.187,505.403,493.622,0,1,0,2,-1.7347,Medio,Alto,Alto,Medio,479.7373333333333,Alto,24
4,4,1,1,1,472.45,532.948,491.665,1,1,1,3,0.9382,Medio,Alto,Alto,Alto,499.021,Alto,25
5,5,0,1,1,586.776,550.608,666.64,1,1,1,3,0.9007,Alto,Alto,Alto,Alto,601.3413333333333,Alto,26
3,4,0,0,0,496.609,481.723,497.264,0,1,1,3,-1.4555,Alto,Medio,Alto,Medio,491.86533333333335,Alto,27
4,4,1,1,1,484.106,528.477,547.326,0,1,0,3,-1.1684,Medio,Alto,Alto,Medio,519.9696666666667,Alto,28
4,4,0,0,1,521.17,495.788,524.87,0,1,0,2,-0.6137,Alto,Medio,Alto,Medio,513.9426666666667,Alto,29
4,4,1,1,1,524.017,558.263,549.815,1,1,1,3,0.6832,Alto,Alto,Alto,Alto,544.0316666666668,Alto,30
