educacion_madre,educacion_padre,genero,computadora,internet,matematicas,comprension_lectora,ciencias,cuarto_propio,television,auto,libros,indice_socioeconomico,matematicasCategoria,comprension_lectoraCategoria,cienciasCategoria,indice_socioeconomicoCategoria,rendimiento_general,rendimiento_general_categoria,id_alumno
5,5,1,1,1,471.889,536.001,427.926,1,1,1,1,1.223,Medio,Alto,Medio,Alto,478.605,Alto,1
4,3,1,0,1,517.527,624.927,534.886,0,1,1,3,-1.049,Alto,Alto,Alto,Medio,559.113,Alto,2
4,4,1,1,1,447.951,520.506,514.019,1,1,1,3,0.945,Medio,Alto,Alto,Alto,494.159,Alto,3
4,3,0,0,1,505.004,510.963,477.384,0,1,0,2,-1.301,Alto,Alto,Medio,Medio,497.784,Alto,4
5,4,0,1,1,570.546,476.157,527.86,1,1,1,3,0.933,Alto,Medio,Alto,Alto,524.854,Alto,5
5,5,1,0,1,515.861,636.417,554.957,1,1,1,4,0.91,Alto,Alto,Alto,Alto,569.078,Alto,6
4,5,0,1,1,553.509,529.394,537.016,0,1,0,2,0.231,Alto,Alto,Alto,Alto,539.973,Alto,7
5,4,0,1,1,460.753,593.661,450.058,0,1,1,3,-0.104,Medio,Alto,Medio,Medio,501.491,Alto,8
4,4,0,0,1,464.803,494.943,498.554,1,1,1,3,-0.992,Medio,Medio,Alto,Medio,486.1,Alto,9
1,1,0,0,1,453.32,511.674,502.476,1,1,1,0,-3.108,Medio,Alto,Alto,Bajo,489.157,Alto,10
5,3,0,0,1,451.563,443.359,543.698,1,1,1,1,-0.109,Medio,Medio,Alto,Medio,479.54,Alto,11
2,3,0,1,1,498.177,565.891,518.089,1,1,1,1,-1.478,Alto,Alto,Alto,Medio,527.386,Alto,12
4,3,1,0,1,476.95,548.87,476.977,1,1,1,2,-0.536,Medio,Alto,Medio,Medio,500.932,Alto,13
4,2,1,1,1,522.84,574.789,514.903,1,1,1,1,-0.049,Alto,Alto,Alto,Alto,537.511,Alto,14
3,3,0,0,1,490.34,501.088,536.208,0,1,0,3,-1.72,Medio,Alto,Alto,Medio,509.212,Alto,15
2,2,0,0,1,503.637,538.245,505.895,1,1,1,0,-2.089,Alto,Alto,Alto,Medio,515.926,Alto,16
5,5,1,0,1,507.513,514.122,520.919,1,1,1,4,1.345,Alto,Alto,Alto,Alto,514.185,Alto,17
4,4,0,1,1,638.274,565.763,588.775,1,1,1,2,-0.563,Alto,Alto,Alto,Medio,597.604,Alto,18
4,4,1,1,1,542.366,559.583,548.343,1,0,1,3,-0.27,Alto,Alto,Alto,Medio,550.097,Alto,19
4,4,1,0,1,463.327,549.511,448.387,1,1,1,2,0.674,Medio,Alto,Medio,Alto,487.075,Alto,20
3,3,0,0,1,530.289,519.726,541.824,0,1,1,1,-2.263,Alto,Alto,Alto,Bajo,530.613,Alto,21
4,4,0,1,1,504.74,593.374,453.302,0,1,1,1,-1.069,Alto,Alto,Medio,Medio,517.139,Alto,22
4,4,0,1,1,505.171,524.796,550.162,1,1,1,2,0.815,Alto,Alto,Alto,Alto,526.71,Alto,23
4,0,1,1,1,538.271,563.613,536.173,1,1,1,4,0.631,Alto,Alto,Alto,Alto,546.019,Alto,24
4,4,0,1,1,451.244,472.145,520.944,0,1,1,1,-0.92,Medio,Medio,Alto,Medio,481.444,Alto,25
5,4,0,1,1,488.867,471.667,527.21,0,1,1,0,-0.507,Medio,Medio,Alto,Medio,495.915,Alto,26
5,5,1,0,1,490.737,511.937,539.504,1,1,1,2,1.075,Medio,Alto,Alto,Alto,514.059,Alto,27
3,3,1,0,1,479.721,515.583,497.928,0,1,0,3,-0.795,Medio,Alto,Alto,Medio,497.744,Alto,28
4,4,1,0,1,457.387,513.485,467.757,1,1,0,1,-1.597,Medio,Alto,Medio,Medio,479.543,Alto,29
5,5,1,1,1,489.868,545.781,520.911,0,1,1,1,1.574,Medio,Alto,Alto,Alto,518.853,Alto,30
4,3,0,0,1,562.795,521.718,508.841,1,1,0,2,-1.281,Alto,Alto,Alto,Medio,531.118,Alto,31
5,4,1,0,0,468.68,555.321,473.765,1,1,0,1,-0.185,Medio,Alto,Medio,Medio,499.255,Alto,32
4,4,0,1,1,520.427,548.068,526.28,1,1,1,1,-0.777,Alto,Alto,Alto,Medio,531.592,Alto,33
5,4,0,1,1,484.859,547.248,501.43,1,1,1,0,1.206,Medio,Alto,Alto,Alto,511.179,Alto,34
3,2,1,0,1,476.831,551.616,503.37,0,1,1,1,-1.949,Medio,Alto,Alto,Medio,510.606,Alto,35
3,4,1,1,1,586.435,541.706,565.84,1,1,1,1,-0.884,Alto,Alto,Alto,Medio,564.66,Alto,36
5,5,0,0,0,488.824,486.031,468.353,1,1,1,2,-0.178,Medio,Medio,Medio,Medio,481.069,Alto,37
5,0,1,1,1,415.09,518.216,506.143,1,1,0,1,0.819,Medio,Alto,Alto,Alto,479.816,Alto,38
4,3,0,0,1,463.282,514.305,518.265,1,1,1,3,-1.428,Medio,Alto,Alto,Medio,498.617,Alto,39
4,4,0,1,1,506.339,518.528,542.402,1,1,1,3,1.46,Alto,Alto,Alto,Alto,522.423,Alto,40
4,3,1,1,1,516.847,585.305,461.454,1,1,1,1,-0.999,Alto,Alto,Medio,Medio,521.202,Alto,41
4,5,0,0,1,464.843,500.56,500.702,0,1,1,1,0.505,Medio,Alto,Alto,Alto,488.702,Alto,42
4,4,1,0,1,478.393,453.153,507.696,1,1,0,3,-0.019,Medio,Medio,Alto,Alto,479.747,Alto,43
3,2,1,0,1,504.084,489.106,522.588,0,1,1,1,-1.725,Alto,Medio,Alto,Medio,505.259,Alto,44
